words,frequency
gold,1735
couple,1731
battle,1729
sign,1717
wake,1715
till,1714
ice,1704
energy,1700
strange,1697
sent,1693
mad,1690
hour,1684
handle,1682
shoot,1681
brain,1677
others,1672
teenage,1671
serious,1669
terrible,1666
fool,1648
damn,1647
sing,1644
fighting,1644
amazing,1633
ring,1632
charlie,1630
heh,1630
count,1625
blow,1619
sick,1619
drink,1616
longer,1610
turned,1606
force,1606
piece,1599
known,1598
ranger,1598
super,1597
queen,1592
computer,1592
suppose,1587
mission,1587
date,1586
fair,1579
goodbye,1577
cute,1575
takes,1575
figure,1575
kiss,1572
harry,1572
totally,1569
happens,1567
white,1566
ten,1559
daughter,1557
moon,1554
spell,1551
000,1548
calling,1543
continues,1541
test,1540
surprise,1535
choice,1526
growls,1526
blood,1525
pass,1522
unless,1519
leaving,1516
tommy,1513
join,1509
ohh,1508
train,1507
works,1501
prince,1491
explain,1491
horse,1489
fix,1486
system,1486
joe,1484
worked,1482
forgot,1482
awesome,1479
rather,1478
smell,1477
fear,1472
absolutely,1471
busy,1469
protect,1468
doc,1464
straight,1463
attention,1459
clean,1459
flying,1457
santa,1451
general,1450
fred,1448
movie,1444
humans,1440
certainly,1438
ones,1437
whoo,1435
birthday,1434
possible,1430
picture,1421
ahh,1419
worth,1419
hungry,1418
hide,1418
none,1415
teach,1411
street,1409
except,1408
stick,1407
report,1405
speaking,1404
sea,1402
grab,1402
country,1401
worse,1398
meant,1395
lovely,1393
agent,1392
act,1390
missed,1386
key,1385
donatello,1380
gun,1379
cheering,1379
building,1374
less,1367
hero,1364
normal,1364
sun,1361
bear,1361
pizza,1360
cover,1359
proud,1356
scooby,1356
seven,1354
michelangelo,1353
mama,1352
foot,1352
bird,1347
seconds,1347
road,1341
hoo,1341
present,1341
sword,1338
aunt,1337
yelling,1337
escape,1334
warrior,1334
singing,1329
mistake,1328
jake,1327
slow,1326
history,1325
box,1325
danger,1319
shouting,1316
jump,1312
giving,1307
wear,1305
leader,1305
anywhere,1304
changed,1303
trick,1301
wind,1300
crowd,1294
simple,1291
island,1291
broken,1284
ground,1283
mess,1283
company,1282
lunch,1282
finished,1281
honor,1280
charge,1275
deep,1275
calm,1275
besides,1274
reach,1271
boat,1268
race,1268
relax,1268
harvey,1266
spirit,1264
short,1261
caught,1260
bell,1260
zordon,1260
shit,1258
married,1257
knock,1252
worried,1252
beast,1250
mouth,1248
stuck,1246
command,1245
needed,1238
expect,1236
darling,1234
security,1232
destroyed,1231
double,1229
sky,1228
quit,1227
office,1227
field,1226
powerful,1223
prepare,1221
looked,1218
aye,1216
impossible,1214
completely,1208
using,1207
san,1206
missing,1206
wall,1204
giant,1204
alien,1204
million,1202
alright,1200
across,1195
alpha,1192
laugh,1190
grow,1190
sam,1190
wearing,1187
army,1187
watching,1185
action,1183
quickly,1182
peace,1181
leonardo,1181
dogs,1180
peter,1180
engine,1179
roars,1179
weeks,1176
months,1174
tired,1173
rescue,1173
begin,1172
john,1170
kevin,1169
write,1164
nose,1159
hat,1155
final,1149
contact,1148
tough,1148
learned,1142
broke,1142
upon,1139
evening,1138
park,1135
ghost,1134
lie,1132
stone,1130
eight,1130
meeting,1129
seeing,1127
excellent,1126
chicken,1121
starting,1121
robot,1121
rat,1120
pie,1119
born,1119
stopped,1117
given,1115
age,1108
enjoy,1108
radio,1108
animals,1107
died,1105
rings,1102
message,1100
faster,1100
speed,1099
roll,1099
greatest,1097
floor,1095
thinks,1094
zeo,1091
heroes,1089
outta,1089
pain,1088
miles,1087
middle,1085
training,1085
jedi,1085
trip,1084
wild,1080
avatar,1077
likes,1076
favorite,1074
enemy,1074
dreams,1069
complete,1069
rule,1069
decided,1068
president,1067
spend,1066
near,1065
rid,1065
round,1065
dress,1064
unh,1062
witch,1061
certain,1053
crystal,1051
bag,1051
map,1051
pig,1050
trap,1049
gosh,1047
questions,1047
window,1046
forward,1042
low,1032
interesting,1032
fell,1030
panting,1030
iron,1028
eating,1026
kaos,1026
guard,1025
dudes,1025
weapon,1023
doo,1020
goin,1019
animal,1019
pop,1018
asking,1016
felt,1015
weapons,1013
single,1012
roaring,1012
women,1011
within,1011
indeed,1010
dare,1009
state,1009
bigger,1008
suit,1007
kick,1006
early,1005
ridiculous,1005
marty,1005
locked,1002
joke,1001
seriously,1000
forgive,999
push,999
barking,998
signal,997
bob,995
creature,994
bridge,994
steal,993
definitely,992
loved,991
crying,991
english,990
clock,990
robin,989
alarm,988
mighty,987
code,987
law,986
carry,985
york,985
immediately,983
beginning,982
universe,982
information,982
rita,982
truck,981
realize,977
hole,974
theme,974
base,973
goodness,971
strength,971
imagine,970
pal,970
raphael,970
pleasure,969
mark,969
instead,969
promised,969
station,968
commander,968
prove,967
idiot,967
justin,965
tea,960
support,959
summer,959
storm,958
worst,958
science,957
hundred,957
arm,957
gas,956
standing,956
gift,956
clothes,955
center,955
position,955
kept,954
neither,953
folks,951
ran,951
coffee,950
majesty,949
orders,949
third,948
lock,946
fat,946
incredible,946
area,945
rules,944
husband,941
angel,940
emergency,940
america,939
duck,937
private,937
cheese,935
samurai,935
spot,934
north,932
skull,930
metal,930
gasping,929
table,928
merry,927
butt,927
silly,926
wizard,926
forest,925
loud,922
yep,921
monkey,921
situation,920
snow,919
sitting,919
stole,917
mommy,917
swear,915
plans,915
camera,915
doubt,914
grandpa,914
rich,911
uhh,911
nine,910
mary,909
splinter,909
cry,905
feels,905
river,905
blast,903
tires,903
bunch,902
laughter,900
allow,900
shell,899
member,898
device,898
bill,897
dig,894
thunder,894
throat,894
track,891
grandma,891
video,891
search,890
plane,890
castle,888
wedding,888
aii,887
match,886
cake,886
store,886
brand,884
shoes,883
wings,883
board,883
club,883
finn,881
taught,880
mountain,879
respect,879
sad,879
league,878
personal,878
krang,876
tight,875
screeching,875
size,874
scene,874
pan,873
taste,873
treasure,873
especially,871
named,868
yesterday,868
build,865
walking,865
yells,865
warm,863
gotten,862
self,862
share,860
village,859
doin,858
helping,857
heavy,856
ugly,854
tony,854
sell,853
books,853
roger,853
owe,848
truly,847
form,847
glass,846
paper,846
extra,845
horn,845
crash,844
hiding,844
rumbling,843
visit,842
thousand,842
lights,842
soul,839
famous,839
gee,839
crime,839
monsters,838
nervous,837
closer,836
mystery,835
breath,834
ought,834
genius,834
waste,833
teacher,833
agree,832
seat,831
scott,830
shake,829
everywhere,826
holding,825
beyond,825
choose,825
service,825
angry,825
horrible,825
fit,823
college,823
group,823
continue,822
offer,819
afternoon,817
appreciate,816
breakfast,815
marry,814
royal,814
figured,814
superman,814
jim,813
defeat,810
huge,809
kinda,808
somehow,808
interested,807
reading,807
lots,806
brown,806
ringing,806
justice,806
bomb,805
lab,805
coach,804
admit,802
dumb,802
awful,802
brothers,802
apart,801
built,801
loves,799
strike,798
acting,798
plays,798
card,796
pardon,795
however,795
prime,795
gives,794
cross,793
picked,792
van,792
main,791
correct,788
mention,786
heads,786
problems,785
chattering,785
stars,782
girlfriend,781
cream,780
kitty,777
flight,777
putting,776
passed,776
meat,776
congratulations,774
south,773
iike,773
sight,771
belong,771
gang,769
james,768
legs,767
accept,766
hall,765
creatures,765
rocket,765
lived,763
chuckling,763
memory,762
level,762
brilliant,762
tower,762
bother,760
calls,757
list,757
band,757
upset,757
smile,756
games,756
empty,755
fellow,753
headed,753
ray,753
ways,752
crew,751
obviously,750
failed,750
pants,750
duty,749
scream,749
prison,748
practice,748
treat,746
bus,746
letter,745
fresh,744
freak,743
tom,743
morphin,743
bite,742
simply,741
plenty,741
partner,740
brave,739
grand,738
losing,736
henry,734
charles,733
david,733
burn,733
tail,732
accident,731
keeping,731
michael,731
major,731
hospital,730
mister,730
bought,728
beach,727
jimmy,727
driving,726
loose,724
twice,724
heck,724
arms,723
teeth,723
candy,723
turns,722
bank,721
stories,721
trapped,720
whose,719
birds,719
following,718
salem,718
excited,717
leg,717
hulk,717
scare,716
weak,715
lying,714
bright,713
boom,713
fate,712
notice,711
jason,710
toy,709
lesson,707
wondering,707
warning,706
nature,706
paid,706
hannah,706
places,705
nuts,705
liked,704
month,703
guest,703
target,701
court,699
favor,698
note,698
survive,698
scary,698
feed,697
heading,697
record,697
release,697
explosion,697
shaggy,697
sweetheart,696
tiny,696
created,694
switch,694
kitchen,694
listening,694
nope,692
holy,692
megatron,692
dirty,690
honest,690
remain,690
raise,689
goku,689
dancing,688
bat,688
possibly,687
language,687
boo,686
according,686
fellas,685
breathe,684
feelings,684
harm,684
papa,683
mutants,683
eggs,682
whoever,682
blame,679
twilight,679
west,677
ass,676
100,674
moved,674
split,674
spent,673
avengers,673
ancient,672
ocean,671
trees,671
difficult,671
serve,670
bottom,670
dollars,670
whirring,670
alert,667
noise,666
closed,666
precious,665
large,665
rain,664
lay,664
art,664
risk,662
sonny,662
beg,661
beauty,661
perfectly,661
hardly,661
officer,660
helped,660
cell,660
penelope,660
became,659
aang,659
cave,658
mike,658
weii,657
laser,657
hyah,656
starts,654
colonel,653
bruce,653
spike,652
talked,651
keeps,651
cares,651
flash,650
jones,650
breaking,649
cup,647
mmm,646
jean,646
launch,646
dragons,646
button,645
lieutenant,645
fake,645
falls,644
hotel,644
price,643
saving,643
plant,642
mayor,640
pool,640
turning,640
kingdom,639
decision,639
ate,639
doom,638
study,638
camp,638
stolen,638
heaven,637
bathroom,637
fired,635
travel,635
victory,635
played,634
suggest,634
tie,632
weather,632
showed,632
yellow,631
shield,631
highness,630
difference,630
someday,629
pieces,628
palace,628
cousin,628
killing,627
adam,627
stage,627
aboard,626
allowed,626
biggest,625
nah,624
fantastic,623
ears,623
product,622
experience,621
silence,619
zedd,619
upstairs,617
thor,617
surprised,616
beep,616
operation,615
jackson,615
attacked,614
skipper,614
lies,613
jerk,613
falling,612
eddie,611
film,611
rocky,611
shh,610
mon,610
american,610
adventure,610
apartment,610
rainbow,608
staying,608
onto,607
arrived,606
freeze,606
milk,605
necessary,605
leaves,605
dash,605
natural,604
appears,604
punch,604
nearly,603
wave,603
gwen,603
kimberly,603
ships,602
egg,601
usually,600
ideas,599
heat,599
lantern,598
neck,597
eric,597
gotham,597
portal,597
government,596
wet,595
create,595
escaped,595
wayne,595
grant,594
project,594
pet,593
bug,593
lake,592
sleeping,591
gate,591
whimpering,591
dry,590
parts,590
pack,590
nowhere,589
wrote,589
wolf,589
tiger,589
french,588
hilda,588
press,587
hook,587
steady,587
focus,587
nation,587
dying,586
decide,585
boyfriend,585
pictures,584
secrets,584
johnny,584
stronger,583
hiccup,583
program,582
museum,582
discovered,581
public,581
fingers,581
keys,581
letting,580
shadow,580
harper,580
corner,579
winter,579
twenty,579
yah,579
skin,578
robots,578
dropped,577
fill,577
safety,577
warn,577
fortune,576
silver,575
hanging,575
dressed,575
style,575
curse,575
driver,574
jungle,573
ends,573
students,573
rope,572
chocolate,571
spy,571
coughing,571
buzz,571
darkness,570
optimus,570
names,569
suddenly,569
bringing,569
consider,569
fools,568
flowers,568
bow,568
copy,568
republic,568
purpose,567
lightning,567
swim,567
united,567
larry,567
doll,566
higher,565
rook,565
due,564
deserve,564
shape,564
sake,563
channel,563
damage,563
loser,563
clever,562
fan,560
chest,560
color,560
frank,560
clears,560
temple,560
buzzing,560
jane,559
responsible,558
clue,558
source,558
claw,558
wise,556
fail,556
vacation,556
path,555
nick,555
cars,555
sync,554
innocent,553
grown,553
beeps,553
revenge,553
ruined,552
data,552
hidden,552
sheep,551
smoke,551
roof,551
exciting,551
soldiers,551
doors,550
arrest,550
bones,549
nothin,549
cost,549
although,549
applause,549
gasp,549
technology,549
london,548
pete,548
thief,548
yay,548
guards,547
arthur,547
type,546
ticket,545
snake,545
hoping,544
moves,544
forgotten,544
mirror,543
pressure,543
opening,543
dust,542
sugar,542
apple,542
somethin,542
lift,542
annie,542
cap,541
plus,541
returned,541
sweetie,540
sandwich,539
warriors,539
often,538
oil,537
tells,537
tape,537
whistle,536
student,536
agents,536
mikey,535
soup,534
mail,533
sheriff,533
location,532
zack,532
surrender,531
season,530
total,530
spring,529
east,529
audience,529
delicious,528
winner,528
judge,528
sarah,528
agreed,527
bud,527
bang,526
lad,526
devil,526
remind,526
apparently,526
daphne,526
pinkie,525
stops,524
filled,524
bucks,524
toys,524
oof,524
dimension,524
wash,523
climb,523
destiny,523
enter,522
mouse,522
whether,522
settle,522
whimpers,522
asleep,521
hee,521
forces,521
prepared,521
disappeared,520
kung,520
shifu,520
covered,519
advertise,519
fuel,519
garbage,519
breathing,518
shame,518
shows,518
zelda,518
football,517
council,517
humming,516
chair,515
comin,515
shooting,514
advice,514
hunter,514
zoo,514
potter,513
movies,513
gordon,513
juice,512
paint,512
blind,512
horses,512
freedom,512
nightmare,512
brains,510
soft,510
dramatic,510
common,509
galaxy,509
fella,508
soldier,508
shoe,507
wha,507
jesus,507
costume,507
fleet,506
empire,506
starbuck,506
cook,505
shirt,505
bar,505
distance,505
lion,504
cash,504
draw,504
planning,504
armor,504
junk,503
killer,503
blows,503
systems,503
competition,502
josh,502
held,501
finding,501
belongs,501
rocks,501
ordinary,500
vip,500
exist,500
cats,500
korra,500
picking,499
threw,499
wiii,499
irma,499
destruction,498
machines,498
journey,497
pigeon,497
captured,497
fairy,496
writing,496
gross,496
circus,495
sold,495
detective,495
score,494
rats,494
pony,494
challenge,494
jealous,493
baseball,493
grandfather,493
rose,492
handsome,492
growing,492
noticed,492
original,492
bulk,492
skills,492
pulled,491
introduce,491
terrific,491
research,491
poison,490
pink,490
equipment,490
pirate,490
frog,489
followed,489
lately,489
guns,488
older,486
hurts,486
valley,486
apologize,485
evidence,485
involved,485
gotcha,484
prize,484
hug,484
tall,483
pretend,483
ruin,483
landing,482
approaching,482
gim,482
neil,482
nasty,481
sensei,481
otherwise,480
miracle,480
farm,480
range,480
bottle,480
winning,480
rude,480
senator,480
points,479
lines,479
surface,479
spirits,479
character,478
sees,478
babies,478
rise,477
easily,477
apollo,477
panda,477
knowledge,476
spare,476
deliver,476
opportunity,476
cheer,476
unfortunately,476
mask,476
sooner,475
miley,475
wheel,474
holmes,474
ghosts,474
bee,473
junior,473
whistling,473
familiar,473
kraang,473
usual,472
expecting,471
golden,471
answers,470
stealing,470
stomach,469
tickets,469
planned,469
cory,469
aliens,469
toothless,468
finger,468
jail,468
lonely,467
tongue,467
babe,467
meaning,467
capture,467
maxwell,467
proof,466
crush,466
block,466
guide,465
hill,465
toast,465
easier,465
rush,463
department,463
cow,462
among,462
fancy,461
written,461
oops,461
load,461
magical,461
smells,460
tunnel,459
repeat,459
woods,458
mercy,457
firing,457
clearly,456
worlds,456
proper,455
national,455
lower,455
weight,453
memories,452
credit,451
vernon,451
formula,450
glasses,449
jerry,449
howard,449
enemies,449
lilly,449
zero,448
sending,448
attitude,448
knowing,447
comfortable,447
bitch,447
opens,447
page,447
seek,447
murder,447
coat,446
invited,446
finds,445
permission,445
faith,445
knocking,444
friday,444
sharp,443
realized,443
television,443
blowing,443
file,443
coordinates,443
borrow,442
harder,442
wendy,442
susan,442
matters,441
willing,441
madam,441
cast,441
assignment,441
jetson,441
teddy,441
fixed,440
clown,440
condition,440
crown,440
states,440
pure,440
hearing,439
thomas,439
cyborg,439
wolverine,439
thoughts,438
view,438
balance,438
balls,438
guests,438
vampire,438
spread,437
beam,437
pathetic,437
grunt,437
aaah,436
seemed,436
whispering,436
blew,436
wing,435
